   
   
sim_type_id,vehicle.harley-davidson.low_rider,walker.pedestrian.0001
sim_id,482,514
tracker_id,9,10
sim_position,(-18.19_168.56_-0.03),(-14.46_163.56_0.95)
tracker_position,(-17.81_168.57_0.88),(-14.47_163.56_1.05)
position_error,0.38,0.01
sim_obj_static,False,False
tracker_obj_static,False,False
is_same_status,True,True
sim_velocity,4.38,2.75
tracker_velocity,6.2,2.98
velocity_error,0.42,0.08
sim_heading,-3.04,2.98
tracker_heading,0.08,0.72
heading_error,1.240000000000009,39.49000000000001
sim_velocity_vector,(-4.36_-0.45_-0.0),(-2.71_0.45_0.0)
tracker_velocity_vector,(-6.19_-0.34_0.0),(-2.89_0.74_0.0)
velocity_heading_error,2.75,4.930000000000007
sim_box_width,0.76,0.38
tracker_box_width,0.64,0.56
box_width_error,0.16,0.47
sim_box_length,2.36,0.38
tracker_box_length,2.27,0.8
box_length_error,0.04,1.11
sim_box_height,1.28,1.86
tracker_box_height,1.33,1.48
box_height_error,0,0
Miss_rate,0.07692307692307693
   
   
sim_type_id,vehicle.harley-davidson.low_rider,walker.pedestrian.0001
sim_id,482,514
tracker_id,5,6
sim_position,(-18.62_168.51_-0.03),(-14.73_163.6_0.95)
tracker_position,(-18.3_168.51_0.88),(-14.75_163.6_1.02)
position_error,0.32,0.02
sim_obj_static,False,False
tracker_obj_static,False,False
is_same_status,True,True
sim_velocity,4.37,2.75
tracker_velocity,6.44,2.92
velocity_error,0.47,0.06
sim_heading,-3.04,2.98
tracker_heading,0.3,0.74
heading_error,11.370000000000005,38.34
sim_velocity_vector,(-4.34_-0.46_0.0),(-2.71_0.45_0.0)
tracker_velocity_vector,(-6.41_-0.58_0.0),(-2.84_0.68_0.0)
velocity_heading_error,0.8800000000000239,4.039999999999992
sim_box_width,0.76,0.38
tracker_box_width,0.7,0.54
box_width_error,0.08,0.42
sim_box_length,2.36,0.38
tracker_box_length,2.27,0.69
box_length_error,0.04,0.82
sim_box_height,1.28,1.86
tracker_box_height,1.44,1.46
box_height_error,0,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.harley-davidson.low_rider,walker.pedestrian.0001
sim_id,482,514
tracker_id,8,9
sim_position,(-19.06_168.46_-0.03),(-15.01_163.65_0.95)
